MagCAPShock,Choice_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.74,0.46,50.962685176024365,0.9992683367847914,0.9826769990879943,156.84374385145816,260.08411652272775,-0.74
-0.73,0.46,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,258.66026328146665,-0.73
-0.72,0.46,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,256.9980293181616,-0.72
-0.71,0.46,51.0,1.0,1.0,157.09577981539158,255.19154811565298,-0.71
-0.7,0.46,51.0,1.0,1.0,157.18281793118064,253.49106135642597,-0.7
-0.69,0.46,51.0,1.0,1.0,157.27000575570796,252.13898737365741,-0.69
-0.68,0.46,51.0,1.0,1.0,157.35734351249053,251.24116861619677,-0.68
-0.67,0.46,51.0,1.0,1.0,157.44480910200622,250.71212516956015,-0.67
-0.66,0.46,51.0,1.0,1.0,157.5323876394251,250.42820610579136,-0.66
-0.65,0.46,51.0,1.0,1.0,157.62003426694844,250.2993186874388,-0.65
-0.64,0.46,51.0,1.0,1.0,157.69933667534684,250.26965775131038,-0.64
-0.63,0.46,51.0,1.0,1.0,157.78723477528627,250.30385366827306,-0.63
-0.62,0.46,51.0,1.0,1.0,157.87524899059247,250.3775139607795,-0.62
-0.61,0.46,51.0,1.0,1.0,157.9633788155369,250.47283202852972,-0.61
-0.6,0.46,51.0,1.0,1.0,158.0516242021337,250.57678016438467,-0.6
-0.59,0.46,51.0,1.0,1.0,158.13998551230296,250.68021814439135,-0.59
-0.58,0.46,51.0,1.0,1.0,158.2283998073247,250.777207671946,-0.58
-0.57,0.46,51.0,1.0,1.0,158.3088384219583,250.86434181044226,-0.57
-0.56,0.46,51.0,1.0,1.0,158.3975115571826,250.94009666689522,-0.56
-0.55,0.46,51.0,1.0,1.0,158.48630819538147,251.0042536827642,-0.55
-0.54,0.46,51.0,1.0,1.0,158.5752300704683,251.05742571493616,-0.54
-0.53,0.46,51.0,1.0,1.0,158.66427920246088,251.10069556724486,-0.53
-0.52,0.46,51.0,1.0,1.0,158.7534579056446,251.13535790704316,-0.52
-0.51,0.46,51.0,1.0,1.0,158.84276879318438,251.16274681797273,-0.51
-0.5,0.46,51.0,1.0,1.0,158.92592191866405,251.18412920731654,-0.5
-0.49,0.46,51.0,1.0,1.0,159.0154121056732,251.20064595694254,-0.49
-0.48,0.46,51.0,1.0,1.0,159.10502564196182,251.2132858982898,-0.48
-0.47,0.46,51.0,1.0,1.0,159.19476029660453,251.22288113068896,-0.47
-0.46,0.46,51.0,1.0,1.0,159.28461343529221,251.2301152727296,-0.46
-0.45,0.46,51.0,1.0,1.0,159.3745821938963,251.23553873669275,-0.45
-0.44,0.46,51.0,1.0,1.0,159.46466383094395,251.23958703622336,-0.44
-0.43,0.46,51.0,1.0,1.0,159.55482191238914,251.24259955819838,-0.43
-0.42,0.46,51.0,1.0,1.0,159.64232065068379,251.2448372517841,-0.42
-0.41,0.46,51.0,1.0,1.0,159.73139308471562,251.24649839882963,-0.41
-0.4,0.46,51.0,1.0,1.0,159.82041430813396,251.24773211341355,-0.4
-0.39,0.46,51.0,1.0,1.0,159.90940370148698,251.24786774532055,-0.39
-0.38,0.46,51.0,1.0,1.0,159.99841099542607,251.24786595833925,-0.38
-0.37,0.46,51.0,1.0,1.0,160.0875439778292,251.24786428801028,-0.37
-0.36,0.46,51.0,1.0,1.0,160.17704640284134,251.24786274641963,-0.36
-0.35,0.46,51.0,1.0,1.0,160.26770295148387,251.24786132495856,-0.35
-0.34,0.46,51.0,1.0,1.0,160.3465259770447,251.24786102164936,-0.34
-0.33,0.46,51.0,1.0,1.0,160.4181333681921,251.24786103499787,-0.33
-0.32,0.46,51.0,1.0,1.0,160.50332350940892,251.24786103021296,-0.32
-0.31,0.46,51.0,1.0,1.0,160.58938681991935,251.24786102476637,-0.31
-0.3,0.46,51.0,1.0,1.0,160.63380577078317,251.24786101895552,-0.3
-0.29,0.46,51.0,1.0,1.0,160.6338057707831,251.2478610127552,-0.29
-0.28,0.46,51.0,1.0,1.0,160.63380577078317,251.24786086428196,-0.28
-0.27,0.46,51.0,1.0,1.0,160.63380577078314,251.24785951600674,-0.27
-0.26,0.46,51.0,1.0,1.0,160.6338057707832,251.24785749768878,-0.26
-0.25,0.46,51.0,1.0,1.0,160.63380577078317,251.2478544890411,-0.25
-0.24,0.46,51.0,1.0,1.0,160.6338057707832,251.24785039603887,-0.24
-0.23,0.46,51.0,1.0,1.0,160.63380577078314,251.24784977547665,-0.23
-0.22,0.46,51.0,1.0,1.0,160.6338057707832,251.24784896008907,-0.22
-0.21,0.46,51.0,1.0,1.0,160.6338057707832,251.24784809256073,-0.21
-0.2,0.46,51.0,1.0,1.0,160.63380577078317,251.2478361618479,-0.2
-0.19,0.46,51.0,1.0,1.0,160.63380577078323,251.24777260073344,-0.19
-0.18,0.46,51.0,1.0,1.0,160.63380577078317,251.24768230554488,-0.18
-0.17,0.46,51.0,1.0,1.0,160.63380577078317,251.24755439858882,-0.17
-0.16,0.46,51.0,1.0,1.0,160.6338057707832,251.24737371244927,-0.16
-0.15,0.46,51.0,1.0,1.0,160.6338057707832,251.2470496028042,-0.15
-0.14,0.46,51.0,1.0,1.0,160.63380577078308,251.2465343384059,-0.14
-0.13,0.46,51.0,1.0,1.0,160.63380577078314,251.24643386510272,-0.13
-0.12,0.46,51.0,1.0,1.0,160.63380577078325,251.24360962358728,-0.12
-0.11,0.46,51.0,1.0,1.0,160.6338057707832,251.23905632647381,-0.11
-0.1,0.46,51.0,1.0,1.0,160.6338057707831,251.23209372604282,-0.1
-0.09,0.46,51.0,1.0,1.0,160.6338057707831,251.22146341780592,-0.09
-0.08,0.46,51.0,1.0,1.0,160.63380577078317,251.2052338588424,-0.08
-0.07,0.46,51.0,1.0,1.0,160.63380577078323,251.18041433959226,-0.07
-0.06,0.46,51.0,1.0,1.0,160.63380577078317,251.14230267497655,-0.06
-0.05,0.46,51.0,1.0,1.0,160.63380577078314,251.1388177018827,-0.05
-0.04,0.46,51.0,1.0,1.0,160.6338057707831,251.1388177018827,-0.04
-0.03,0.46,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.03
-0.02,0.46,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.02
-0.01,0.46,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.01
0.0,0.46,51.0,1.0,1.0,160.63380577078317,251.1388177018827,0.0
-1.0,0.47,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67190378279264,282.27202927051627,-1.0
-0.99,0.47,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74935228340266,281.4729070108081,-0.99
-0.98,0.47,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83222793217058,280.6736578875228,-0.98
-0.97,0.47,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91529089447357,279.87422274757336,-0.97
-0.96,0.47,50.58512821131122,0.9918652590453181,0.8553666691131823,154.9985368622525,279.07453346863355,-0.96
-0.95,0.47,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819617687227,278.2745110016443,-0.95
-0.94,0.47,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15969698969533,277.4740646320561,-0.94
-0.93,0.47,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24345922537057,276.673090578163,-0.93
-0.92,0.47,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32738586357544,275.8714526903681,-0.92
-0.91,0.47,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41147205668162,275.0678013647048,-0.91
-0.9,0.47,50.688668628440475,0.9938954633027544,0.8900876681972218,155.49571709977945,274.2582973779831,-0.9
-0.89,0.47,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008768804763,273.4473650781239,-0.89
-0.88,0.47,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821777523556,272.6347562983224,-0.88
-0.87,0.47,50.74028042699917,0.9949074593529249,0.9074481677392415,155.7430424574043,271.8185888107205,-0.87
-0.86,0.47,50.75746605189812,0.9952444323901593,0.9132350009199148,155.828044300168,270.9995321586101,-0.86
-0.85,0.47,50.774638985454914,0.9955811565775473,0.919021834100588,155.913193590116,270.177734286773,-0.85
-0.84,0.47,50.79179921527229,0.9959176316720058,0.9248086672812615,155.9984881671958,269.35263982267634,-0.84
-0.83,0.47,50.808946722960826,0.9962538573129573,0.9305955004619346,156.07675032316197,268.52350982108646,-0.83
-0.82,0.47,50.82608148129713,0.9965898329666104,0.936382333642608,156.1623157505885,267.68930343240334,-0.82
-0.81,0.47,50.843203449442996,0.9969255578322156,0.9421691668232811,156.24802212986197,266.84845899126094,-0.81
-0.8,0.47,50.860312564709396,0.9972610306805764,0.9479560000039545,156.3338692648336,265.998486455018,-0.8
-0.79,0.47,50.87740872834448,0.997596249575382,0.953742833184628,156.41985019926352,265.1352110579523,-0.79
-0.78,0.47,50.89449178148165,0.9979312114016009,0.9595296663653011,156.5059618718129,264.251391747052,-0.78
-0.77,0.47,50.91156146650667,0.9982659111079739,0.9653164995459741,156.58436671971506,263.3342886088663,-0.77
-0.76,0.47,50.92861737220489,0.9986003406314684,0.9711033327266476,156.67071136672294,262.36171004720495,-0.76
-0.75,0.47,50.9456588789833,0.998934487823202,0.9768901659073207,156.7571728115957,261.2967105652965,-0.75
-0.74,0.47,50.962685176024365,0.9992683367847914,0.9826769990879943,156.84374385145816,260.08411652272775,-0.74
-0.73,0.47,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,258.66026328146665,-0.73
-0.72,0.47,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,256.9980293181616,-0.72
-0.71,0.47,51.0,1.0,1.0,157.09577981539158,255.19154811565298,-0.71
-0.7,0.47,51.0,1.0,1.0,157.18281793118064,253.49106135642597,-0.7
-0.69,0.47,51.0,1.0,1.0,157.27000575570796,252.13898737365741,-0.69
-0.68,0.47,51.0,1.0,1.0,157.35734351249053,251.24116861619677,-0.68
-0.67,0.47,51.0,1.0,1.0,157.44480910200622,250.71212516956015,-0.67
-0.66,0.47,51.0,1.0,1.0,157.5323876394251,250.42820610579136,-0.66
-0.65,0.47,51.0,1.0,1.0,157.62003426694844,250.2993186874388,-0.65
-0.64,0.47,51.0,1.0,1.0,157.69933667534684,250.26965775131038,-0.64
-0.63,0.47,51.0,1.0,1.0,157.78723477528627,250.30385366827306,-0.63
-0.62,0.47,51.0,1.0,1.0,157.87524899059247,250.3775139607795,-0.62
-0.61,0.47,51.0,1.0,1.0,157.9633788155369,250.47283202852972,-0.61
-0.6,0.47,51.0,1.0,1.0,158.0516242021337,250.57678016438467,-0.6
-0.59,0.47,51.0,1.0,1.0,158.13998551230296,250.68021814439135,-0.59
-0.58,0.47,51.0,1.0,1.0,158.2283998073247,250.777207671946,-0.58
-0.57,0.47,51.0,1.0,1.0,158.3088384219583,250.86434181044226,-0.57
-0.56,0.47,51.0,1.0,1.0,158.3975115571826,250.94009666689522,-0.56
-0.55,0.47,51.0,1.0,1.0,158.48630819538147,251.0042536827642,-0.55
-0.54,0.47,51.0,1.0,1.0,158.5752300704683,251.05742571493616,-0.54
-0.53,0.47,51.0,1.0,1.0,158.66427920246088,251.10069556724486,-0.53
-0.52,0.47,51.0,1.0,1.0,158.7534579056446,251.13535790704316,-0.52
-0.51,0.47,51.0,1.0,1.0,158.84276879318438,251.16274681797273,-0.51
-0.5,0.47,51.0,1.0,1.0,158.92592191866405,251.18412920731654,-0.5
-0.49,0.47,51.0,1.0,1.0,159.0154121056732,251.20064595694254,-0.49
-0.48,0.47,51.0,1.0,1.0,159.10502564196182,251.2132858982898,-0.48
-0.47,0.47,51.0,1.0,1.0,159.19476029660453,251.22288113068896,-0.47
-0.46,0.47,51.0,1.0,1.0,159.28461343529221,251.2301152727296,-0.46
-0.45,0.47,51.0,1.0,1.0,159.3745821938963,251.23553873669275,-0.45
-0.44,0.47,51.0,1.0,1.0,159.46466383094395,251.23958703622336,-0.44
-0.43,0.47,51.0,1.0,1.0,159.55482191238914,251.24259955819838,-0.43
-0.42,0.47,51.0,1.0,1.0,159.64232065068379,251.2448372517841,-0.42
-0.41,0.47,51.0,1.0,1.0,159.73139308471562,251.24649839882963,-0.41
-0.4,0.47,51.0,1.0,1.0,159.82041430813396,251.24773211341355,-0.4
-0.39,0.47,51.0,1.0,1.0,159.90940370148698,251.24786774532055,-0.39
-0.38,0.47,51.0,1.0,1.0,159.99841099542607,251.24786595833925,-0.38
-0.37,0.47,51.0,1.0,1.0,160.0875439778292,251.24786428801028,-0.37
-0.36,0.47,51.0,1.0,1.0,160.17704640284134,251.24786274641963,-0.36
-0.35,0.47,51.0,1.0,1.0,160.26770295148387,251.24786132495856,-0.35
-0.34,0.47,51.0,1.0,1.0,160.3465259770447,251.24786102164936,-0.34
-0.33,0.47,51.0,1.0,1.0,160.4181333681921,251.24786103499787,-0.33
-0.32,0.47,51.0,1.0,1.0,160.50332350940892,251.24786103021296,-0.32
-0.31,0.47,51.0,1.0,1.0,160.58938681991935,251.24786102476637,-0.31
-0.3,0.47,51.0,1.0,1.0,160.63380577078317,251.24786101895552,-0.3
-0.29,0.47,51.0,1.0,1.0,160.6338057707831,251.2478610127552,-0.29
-0.28,0.47,51.0,1.0,1.0,160.63380577078317,251.24786086428196,-0.28
-0.27,0.47,51.0,1.0,1.0,160.63380577078314,251.24785951600674,-0.27
-0.26,0.47,51.0,1.0,1.0,160.6338057707832,251.24785749768878,-0.26
-0.25,0.47,51.0,1.0,1.0,160.63380577078317,251.2478544890411,-0.25
-0.24,0.47,51.0,1.0,1.0,160.6338057707832,251.24785039603887,-0.24
-0.23,0.47,51.0,1.0,1.0,160.63380577078314,251.24784977547665,-0.23
-0.22,0.47,51.0,1.0,1.0,160.6338057707832,251.24784896008907,-0.22
-0.21,0.47,51.0,1.0,1.0,160.6338057707832,251.24784809256073,-0.21
-0.2,0.47,51.0,1.0,1.0,160.63380577078317,251.2478361618479,-0.2
-0.19,0.47,51.0,1.0,1.0,160.63380577078323,251.24777260073344,-0.19
-0.18,0.47,51.0,1.0,1.0,160.63380577078317,251.24768230554488,-0.18
-0.17,0.47,51.0,1.0,1.0,160.63380577078317,251.24755439858882,-0.17
-0.16,0.47,51.0,1.0,1.0,160.6338057707832,251.24737371244927,-0.16
-0.15,0.47,51.0,1.0,1.0,160.6338057707832,251.2470496028042,-0.15
-0.14,0.47,51.0,1.0,1.0,160.63380577078308,251.2465343384059,-0.14
-0.13,0.47,51.0,1.0,1.0,160.63380577078314,251.24643386510272,-0.13
-0.12,0.47,51.0,1.0,1.0,160.63380577078325,251.24360962358728,-0.12
-0.11,0.47,51.0,1.0,1.0,160.6338057707832,251.23905632647381,-0.11
-0.1,0.47,51.0,1.0,1.0,160.6338057707831,251.23209372604282,-0.1
-0.09,0.47,51.0,1.0,1.0,160.6338057707831,251.22146341780592,-0.09
-0.08,0.47,51.0,1.0,1.0,160.63380577078317,251.2052338588424,-0.08
-0.07,0.47,51.0,1.0,1.0,160.63380577078323,251.18041433959226,-0.07
-0.06,0.47,51.0,1.0,1.0,160.63380577078317,251.14230267497655,-0.06
-0.05,0.47,51.0,1.0,1.0,160.63380577078314,251.1388177018827,-0.05
-0.04,0.47,51.0,1.0,1.0,160.6338057707831,251.1388177018827,-0.04
-0.03,0.47,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.03
-0.02,0.47,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.02
-0.01,0.47,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.01
0.0,0.47,51.0,1.0,1.0,160.63380577078317,251.1388177018827,0.0
-1.0,0.48,50.515857032087254,0.9905070006291619,0.8322193363904891,154.67190378279264,282.27202927051627,-1.0
-0.99,0.48,50.53319317018022,0.9908469249054945,0.8380061695711624,154.74935228340266,281.4729070108081,-0.99
-0.98,0.48,50.55051707460737,0.9911866093060269,0.8437930027518356,154.83222793217058,280.6736578875228,-0.98
-0.97,0.48,50.567828752718654,0.9915260539748756,0.8495798359325089,154.91529089447357,279.87422274757336,-0.97
-0.96,0.48,50.58512821131122,0.9918652590453181,0.8553666691131823,154.9985368622525,279.07453346863355,-0.96
-0.95,0.48,50.602415456499,0.9922042246372353,0.8611535022938555,155.0819617687227,278.2745110016443,-0.95
-0.94,0.48,50.61969049357019,0.9925429508543174,0.8669403354745288,155.15969698969533,277.4740646320561,-0.94
-0.93,0.48,50.63695332683167,0.9928814377810132,0.8727271686552021,155.24345922537057,276.673090578163,-0.93
-0.92,0.48,50.65420395943951,0.9932196854792061,0.8785140018358751,155.32738586357544,275.8714526903681,-0.92
-0.91,0.48,50.67144239321428,0.9935576939845937,0.8843008350165485,155.41147205668162,275.0678013647048,-0.91
-0.9,0.48,50.688668628440475,0.9938954633027544,0.8900876681972218,155.49571709977945,274.2582973779831,-0.9
-0.89,0.48,50.70588266364918,0.9942329934048858,0.895874501377895,155.58008768804763,273.4473650781239,-0.89
-0.88,0.48,50.72308449538315,0.9945702842231989,0.9016613345585685,155.65821777523556,272.6347562983224,-0.88
-0.87,0.48,50.74028042699917,0.9949074593529249,0.9074481677392415,155.7430424574043,271.8185888107205,-0.87
-0.86,0.48,50.75746605189812,0.9952444323901593,0.9132350009199148,155.828044300168,270.9995321586101,-0.86
-0.85,0.48,50.774638985454914,0.9955811565775473,0.919021834100588,155.913193590116,270.177734286773,-0.85
-0.84,0.48,50.79179921527229,0.9959176316720058,0.9248086672812615,155.9984881671958,269.35263982267634,-0.84
-0.83,0.48,50.808946722960826,0.9962538573129573,0.9305955004619346,156.07675032316197,268.52350982108646,-0.83
-0.82,0.48,50.82608148129713,0.9965898329666104,0.936382333642608,156.1623157505885,267.68930343240334,-0.82
-0.81,0.48,50.843203449442996,0.9969255578322156,0.9421691668232811,156.24802212986197,266.84845899126094,-0.81
-0.8,0.48,50.860312564709396,0.9972610306805764,0.9479560000039545,156.3338692648336,265.998486455018,-0.8
-0.79,0.48,50.87740872834448,0.997596249575382,0.953742833184628,156.41985019926352,265.1352110579523,-0.79
-0.78,0.48,50.89449178148165,0.9979312114016009,0.9595296663653011,156.5059618718129,264.251391747052,-0.78
-0.77,0.48,50.91156146650667,0.9982659111079739,0.9653164995459741,156.58436671971506,263.3342886088663,-0.77
-0.76,0.48,50.92861737220489,0.9986003406314684,0.9711033327266476,156.67071136672294,262.36171004720495,-0.76
-0.75,0.48,50.9456588789833,0.998934487823202,0.9768901659073207,156.7571728115957,261.2967105652965,-0.75
-0.74,0.48,50.962685176024365,0.9992683367847914,0.9826769990879943,156.84374385145816,260.08411652272775,-0.74
-0.73,0.48,50.9796955242296,0.9996018730241097,0.9884638322686674,156.9304189300161,258.66026328146665,-0.73
-0.72,0.48,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,256.9980293181616,-0.72
-0.71,0.48,51.0,1.0,1.0,157.09577981539158,255.19154811565298,-0.71
-0.7,0.48,51.0,1.0,1.0,157.18281793118064,253.49106135642597,-0.7
-0.69,0.48,51.0,1.0,1.0,157.27000575570796,252.13898737365741,-0.69
-0.68,0.48,51.0,1.0,1.0,157.35734351249053,251.24116861619677,-0.68
-0.67,0.48,51.0,1.0,1.0,157.44480910200622,250.71212516956015,-0.67
-0.66,0.48,51.0,1.0,1.0,157.5323876394251,250.42820610579136,-0.66
-0.65,0.48,51.0,1.0,1.0,157.62003426694844,250.2993186874388,-0.65
-0.64,0.48,51.0,1.0,1.0,157.69933667534684,250.26965775131038,-0.64
-0.63,0.48,51.0,1.0,1.0,157.78723477528627,250.30385366827306,-0.63
-0.62,0.48,51.0,1.0,1.0,157.87524899059247,250.3775139607795,-0.62
-0.61,0.48,51.0,1.0,1.0,157.9633788155369,250.47283202852972,-0.61
-0.6,0.48,51.0,1.0,1.0,158.0516242021337,250.57678016438467,-0.6
-0.59,0.48,51.0,1.0,1.0,158.13998551230296,250.68021814439135,-0.59
-0.58,0.48,51.0,1.0,1.0,158.2283998073247,250.777207671946,-0.58
-0.57,0.48,51.0,1.0,1.0,158.3088384219583,250.86434181044226,-0.57
-0.56,0.48,51.0,1.0,1.0,158.3975115571826,250.94009666689522,-0.56
-0.55,0.48,51.0,1.0,1.0,158.48630819538147,251.0042536827642,-0.55
-0.54,0.48,51.0,1.0,1.0,158.5752300704683,251.05742571493616,-0.54
-0.53,0.48,51.0,1.0,1.0,158.66427920246088,251.10069556724486,-0.53
-0.52,0.48,51.0,1.0,1.0,158.7534579056446,251.13535790704316,-0.52
-0.51,0.48,51.0,1.0,1.0,158.84276879318438,251.16274681797273,-0.51
-0.5,0.48,51.0,1.0,1.0,158.92592191866405,251.18412920731654,-0.5
-0.49,0.48,51.0,1.0,1.0,159.0154121056732,251.20064595694254,-0.49
-0.48,0.48,51.0,1.0,1.0,159.10502564196182,251.2132858982898,-0.48
-0.47,0.48,51.0,1.0,1.0,159.19476029660453,251.22288113068896,-0.47
-0.46,0.48,51.0,1.0,1.0,159.28461343529221,251.2301152727296,-0.46
-0.45,0.48,51.0,1.0,1.0,159.3745821938963,251.23553873669275,-0.45
-0.44,0.48,51.0,1.0,1.0,159.46466383094395,251.23958703622336,-0.44
-0.43,0.48,51.0,1.0,1.0,159.55482191238914,251.24259955819838,-0.43
-0.42,0.48,51.0,1.0,1.0,159.64232065068379,251.2448372517841,-0.42
-0.41,0.48,51.0,1.0,1.0,159.73139308471562,251.24649839882963,-0.41
-0.4,0.48,51.0,1.0,1.0,159.82041430813396,251.24773211341355,-0.4
-0.39,0.48,51.0,1.0,1.0,159.90940370148698,251.24786774532055,-0.39
-0.38,0.48,51.0,1.0,1.0,159.99841099542607,251.24786595833925,-0.38
-0.37,0.48,51.0,1.0,1.0,160.0875439778292,251.24786428801028,-0.37
-0.36,0.48,51.0,1.0,1.0,160.17704640284134,251.24786274641963,-0.36
-0.35,0.48,51.0,1.0,1.0,160.26770295148387,251.24786132495856,-0.35
-0.34,0.48,51.0,1.0,1.0,160.3465259770447,251.24786102164936,-0.34
-0.33,0.48,51.0,1.0,1.0,160.4181333681921,251.24786103499787,-0.33
-0.32,0.48,51.0,1.0,1.0,160.50332350940892,251.24786103021296,-0.32
-0.31,0.48,51.0,1.0,1.0,160.58938681991935,251.24786102476637,-0.31
-0.3,0.48,51.0,1.0,1.0,160.63380577078317,251.24786101895552,-0.3
-0.29,0.48,51.0,1.0,1.0,160.6338057707831,251.2478610127552,-0.29
-0.28,0.48,51.0,1.0,1.0,160.63380577078317,251.24786086428196,-0.28
-0.27,0.48,51.0,1.0,1.0,160.63380577078314,251.24785951600674,-0.27
-0.26,0.48,51.0,1.0,1.0,160.6338057707832,251.24785749768878,-0.26
-0.25,0.48,51.0,1.0,1.0,160.63380577078317,251.2478544890411,-0.25
-0.24,0.48,51.0,1.0,1.0,160.6338057707832,251.24785039603887,-0.24
-0.23,0.48,51.0,1.0,1.0,160.63380577078314,251.24784977547665,-0.23
-0.22,0.48,51.0,1.0,1.0,160.6338057707832,251.24784896008907,-0.22
-0.21,0.48,51.0,1.0,1.0,160.6338057707832,251.24784809256073,-0.21
-0.2,0.48,51.0,1.0,1.0,160.63380577078317,251.2478361618479,-0.2
-0.19,0.48,51.0,1.0,1.0,160.63380577078323,251.24777260073344,-0.19
-0.18,0.48,51.0,1.0,1.0,160.63380577078317,251.24768230554488,-0.18
-0.17,0.48,51.0,1.0,1.0,160.63380577078317,251.24755439858882,-0.17
-0.16,0.48,51.0,1.0,1.0,160.6338057707832,251.24737371244927,-0.16
-0.15,0.48,51.0,1.0,1.0,160.6338057707832,251.2470496028042,-0.15
-0.14,0.48,51.0,1.0,1.0,160.63380577078308,251.2465343384059,-0.14
-0.13,0.48,51.0,1.0,1.0,160.63380577078314,251.24643386510272,-0.13
-0.12,0.48,51.0,1.0,1.0,160.63380577078325,251.24360962358728,-0.12
-0.11,0.48,51.0,1.0,1.0,160.6338057707832,251.23905632647381,-0.11
-0.1,0.48,51.0,1.0,1.0,160.6338057707831,251.23209372604282,-0.1
-0.09,0.48,51.0,1.0,1.0,160.6338057707831,251.22146341780592,-0.09
-0.08,0.48,51.0,1.0,1.0,160.63380577078317,251.2052338588424,-0.08
-0.07,0.48,51.0,1.0,1.0,160.63380577078323,251.18041433959226,-0.07
-0.06,0.48,51.0,1.0,1.0,160.63380577078317,251.14230267497655,-0.06
-0.05,0.48,51.0,1.0,1.0,160.63380577078314,251.1388177018827,-0.05
-0.04,0.48,51.0,1.0,1.0,160.6338057707831,251.1388177018827,-0.04
-0.03,0.48,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.03
-0.02,0.48,51.0,1.0,1.0,160.6338057707832,251.1388177018827,-0.02
